	0
date_id	0
D1	0
D2	0
D3	0
D4	0
D5	0
D6	0
D7	0
D8	0
D9	0
E1	0
E10	0
E11	0
E12	0
E13	0
E14	0
E15	0
E16	0
E17	0
E18	0
E19	0
E2	0
E20	0
E3	0
E4	0
E5	0
E6	0
E8	0
E9	0
I1	0
I2	0
I3	0
I4	0
I5	0
I6	0
I7	0
I8	0
I9	0
M10	0
M11	0
M12	0
M15	0
M16	0
M17	0
M18	0
M3	0
M4	0
M7	0
M8	0
M9	0
P1	0
P10	0
P11	0
P12	0
P13	0
P2	0
P3	0
P4	0
P5	0
P6	0
P7	0
P8	0
P9	0
S1	0
S10	0
S11	0
S2	0
S4	0
S5	0
S6	0
S7	0
S9	0
V1	0
V11	0
V12	0
V13	0
V2	0
V3	0
V4	0
V5	0
V6	0
V7	0
V8	0
forward_returns	0
risk_free_rate	0
market_forward_excess_returns	0
